Movie Title,Studio,Weekend Date,Opening Revenue
"Legally Blonde 2: Red, White and Blonde",MGM,7/2/2003,"$22,220,670"
Scooby-Doo,WB,6/14/2002,"$54,155,312"
Born on the Fourth of July,Uni.,1/5/1990,"$11,023,650"
2 Fast 2 Furious,Uni.,6/6/2003,"$50,472,480"
Backdraft,Uni.,5/24/1991,"$12,686,200"
Diary of a Wimpy Kid: Dog Days,Fox,8/3/2012,"$14,623,599"
This Means War,Fox,2/17/2012,"$17,405,930"
The Proposal,BV,6/19/2009,"$33,627,598"
Mama,Uni.,1/18/2013,"$28,402,310"
The Five-Year Engagement,Uni.,4/27/2012,"$10,610,060"
The Bridges of Madison County,WB,6/2/1995,"$10,519,257"
Disturbia,P/DW,4/13/2007,"$22,224,982"
Anaconda,Sony,4/11/1997,"$16,620,887"
Looper,TriS,9/28/2012,"$20,801,522"
The Uninvited,P/DW,1/30/2009,"$10,325,824"
Mission to Mars,BV,3/10/2000,"$22,855,247"
You Don't Mess with the Zohan,Sony,6/6/2008,"$38,531,374"
Scooby-Doo 2: Monsters Unleashed,WB,3/26/2004,"$29,438,331"
Problem Child,Uni.,7/27/1990,"$10,026,900"
Bringing Down the House,BV,3/7/2003,"$31,101,026"
Transformers: Dark of the Moon,P/DW,6/29/2011,"$97,852,865"
Paranormal Activity,Par.,10/16/2009,"$19,617,650"
The Hangover Part II,WB,5/26/2011,"$85,946,294"
The Firm,Par.,7/2/1993,"$25,400,000"
House at the End of The Street,Rela.,9/21/2012,"$12,287,234"
Here Comes the Boom,Sony,10/12/2012,"$11,816,596"
Pretty Woman,BV,3/23/1990,"$11,280,591"
Universal Soldier,TriS,7/10/1992,"$10,057,084"
Where the Wild Things Are,WB,10/16/2009,"$32,695,407"
The Omen (2006),Fox,6/6/2006,"$16,026,496"
The Brave One,WB,9/14/2007,"$13,471,488"
A Walk to Remember,WB,1/25/2002,"$12,177,488"
Hansel and Gretel: Witch Hunters,Par.,1/25/2013,"$19,690,956"
Indiana Jones and the Temple of Doom,Par.,5/23/1984,"$25,337,110"
What Women Want,Par.,12/15/2000,"$33,614,543"
Dinner for Schmucks,P/DW,7/30/2010,"$23,527,839"
The Princess Diaries 2: Royal Engagement,BV,8/11/2004,"$22,956,453"
The Game,Poly,9/12/1997,"$14,337,029"
Bridget Jones: The Edge of Reason,Uni.,11/19/2004,"$10,044,890"
Once Upon a Time in Mexico,Sony,9/12/2003,"$23,424,118"
Tyler Perry's Why Did I Get Married Too?,LGF,4/2/2010,"$29,289,537"
Ghostbusters,Col.,6/8/1984,"$13,578,151"
Phenomenon,BV,7/5/1996,"$16,158,901"
Evolution,DW,6/8/2001,"$13,408,351"
The Amityville Horror (2005),MGM,4/15/2005,"$23,507,007"
Random Hearts,Sony,10/8/1999,"$13,012,585"
The Bourne Identity,Uni.,6/14/2002,"$27,118,640"
Shanghai Noon,BV,5/26/2000,"$15,607,034"
Signs,BV,8/2/2002,"$60,117,080"
Fighting,Uni.,4/24/2009,"$11,024,370"
Hercules,BV,6/27/1997,"$21,454,451"
A Civil Action,BV,1/8/1999,"$15,163,484"
Jerry Maguire,Sony,12/13/1996,"$17,084,296"
The Core,Par.,3/28/2003,"$12,053,131"
Seven Pounds,Sony,12/19/2008,"$14,851,136"
Forces of Nature,DW,3/19/1999,"$13,510,728"
Dragnet,Uni.,6/26/1987,"$10,542,669"
Romeo Must Die,WB,3/22/2000,"$18,014,503"
The Tuxedo,DW,9/27/2002,"$15,051,028"
Hoodwinked,Wein.,1/13/2006,"$12,401,900"
The Brothers Grimm,Dim.,8/26/2005,"$15,092,079"
Down to Earth,Par.,2/16/2001,"$17,268,883"
Cinderella Man,Uni.,6/3/2005,"$18,320,205"
Teenage Mutant Ninja Turtles III,NL,3/19/1993,"$12,419,597"
Finding Nemo,BV,5/30/2003,"$70,251,710"
Police Academy 2: Their First Assignment,WB,3/29/1985,"$10,675,896"
Alex Cross,Sum.,10/19/2012,"$11,396,768"
Journey to the Center of the Earth,WB (NL),7/11/2008,"$21,018,141"
Michael Clayton,WB,10/12/2007,"$10,373,422"
The Lucky One,WB,4/20/2012,"$22,518,358"
The Haunting,DW,7/23/1999,"$33,435,140"
Stomp the Yard,SGem,1/12/2007,"$21,833,312"
The Three Stooges,Fox,4/13/2012,"$17,010,125"
Rambo: First Blood Part II,TriS,5/22/1985,"$20,176,217"
The Lake House,WB,6/16/2006,"$13,616,196"
Sherlock Holmes,WB,12/25/2009,"$62,304,277"
Little Nicky,NL,11/10/2000,"$16,063,904"
Stuart Little 2,Sony,7/19/2002,"$15,115,152"
Sleepless in Seattle,TriS,6/25/1993,"$17,253,733"
The Dilemma,Uni.,1/14/2011,"$17,816,230"
Harry Potter and the Half-Blood Prince,WB,7/15/2009,"$77,835,727"
Barbershop 2: Back in Business,MGM,2/6/2004,"$24,241,612"
The Lizzie McGuire Movie,BV,5/2/2003,"$17,338,755"
Transporter 2,Fox,9/2/2005,"$16,540,720"
The Bounty Hunter,Sony,3/19/2010,"$20,686,423"
Syriana,WB,12/9/2005,"$11,737,143"
Malibu's Most Wanted,WB,4/18/2003,"$12,618,159"
The Pelican Brief,WB,12/17/1993,"$16,864,404"
The Original Kings of Comedy,Par.,8/18/2000,"$11,053,832"
Gremlins,WB,6/8/1984,"$12,511,634"
Sahara,Par.,4/8/2005,"$18,068,372"
The Twilight Saga: Breaking Dawn Part 2,Sum.,11/16/2012,"$141,067,634"
Joyful Noise,WB,1/13/2012,"$11,225,190"
16 Blocks,WB,3/3/2006,"$11,855,260"
I Am Number Four,BV,2/18/2011,"$19,449,893"
Coraline,Focus,2/6/2009,"$16,849,640"
21,Sony,3/28/2008,"$24,105,943"
Over the Hedge,P/DW,5/19/2006,"$38,457,003"
Far and Away,Uni.,5/22/1992,"$10,194,520"
Tyler Perry's Madea's Family Reunion,LGF,2/24/2006,"$30,030,661"
The Twilight Saga: Breaking Dawn Part 1,Sum.,11/18/2011,"$138,122,261"
Final Destination 5,WB (NL),8/12/2011,"$18,031,396"
Gnomeo and Juliet,BV,2/11/2011,"$25,356,909"
Star Wars: The Clone Wars,WB,8/15/2008,"$14,611,273"
The Possession,LGF,8/31/2012,"$17,732,480"
The Lord of the Rings: The Return of the King,NL,12/17/2003,"$72,629,713"
End of Days,Uni.,11/24/1999,"$20,523,595"
The Guardian,BV,9/29/2006,"$18,006,064"
Michael Jackson's This Is It,Sony,10/28/2009,"$23,234,394"
The Cable Guy,Sony,6/14/1996,"$19,806,226"
The One,SonR,11/2/2001,"$19,112,404"
Lottery Ticket,WB,8/20/2010,"$10,652,297"
The Skeleton Key,Uni.,8/12/2005,"$16,057,945"
Brother Bear,BV,11/1/2003,"$19,404,492"
Friday After Next,NL,11/22/2002,"$13,010,767"
Just Go With It,Sony,2/11/2011,"$30,514,732"
Black Hawk Down,SonR,1/18/2002,"$28,611,736"
He's Just Not That Into You,WB (NL),2/6/2009,"$27,785,487"
The Watch,Fox,7/27/2012,"$12,750,297"
Con Air,BV,6/6/1997,"$24,131,738"
Be Cool,MGM,3/4/2005,"$23,450,212"
Spider-Man 3,Sony,5/4/2007,"$151,116,516"
Jack Reacher,Par.,12/21/2012,"$15,210,156"
True Grit,Par.,12/22/2010,"$24,830,443"
Vanilla Sky,Par.,12/14/2001,"$25,015,518"
The Lost World: Jurassic Park,Uni.,5/23/1997,"$72,132,785"
U-571,Uni.,4/21/2000,"$19,553,310"
Invincible,BV,8/25/2006,"$17,031,122"
Stepmom,Sony,12/25/1998,"$19,142,440"
The Art of War,WB,8/25/2000,"$10,410,993"
Friday Night Lights,Uni.,10/8/2004,"$20,269,025"
The Waterboy,BV,11/6/1998,"$39,414,071"
The Secret Life of Bees,FoxS,10/17/2008,"$10,527,799"
Single White Female,Col.,8/14/1992,"$10,212,401"
Staying Alive,Par.,7/15/1983,"$12,146,143"
Boogeyman,SGem,2/4/2005,"$19,020,655"
Speed 2: Cruise Control,Fox,6/13/1997,"$16,158,942"
As Good as It Gets,Sony,12/25/1997,"$12,606,928"
Back to the Future Part III,Uni.,5/25/1990,"$19,089,645"
Van Helsing,Uni.,5/7/2004,"$51,748,040"
Ace Ventura: When Nature Calls,WB,11/10/1995,"$37,804,076"
Untraceable,SGem,1/25/2008,"$11,354,069"
